cmp1,cmp2,"PScore, %"
slakov,Think Yellow,46
SunEdison,Novartis,39
SunEdison,Alcon,38
Novartis,FC Barcelona,35
slakov,FC Barcelona,32
Alcon,FC Barcelona,32
SDG.One,FC Barcelona,31
SunEdison,FC Barcelona,31
FC Barcelona,Roche,31
FC Barcelona,Think Yellow,30
Novartis,Alcon,26
slakov,Roche,23
Roche,Think Yellow,23
SDG.One,Roche,22
Novartis,Roche,21
Alcon,Roche,21
slakov,SunEdison,20
SunEdison,Roche,20
SDG.One,SunEdison,18
SunEdison,Think Yellow,17
Novartis,Think Yellow,17
SDG.One,Think Yellow,16
slakov,Alcon,13
SDG.One,slakov,12
SDG.One,Novartis,12
SDG.One,Alcon,11
slakov,Novartis,10
Alcon,Think Yellow,9
